scenario,subsystem,year,month,demand_mw
referencia,NORTE,2025,1,7777.188166664908
referencia,NORTE,2025,2,8055.422630157015
referencia,NORTE,2025,3,7827.834859297803
referencia,NORTE,2025,4,7951.744140398533
referencia,NORTE,2025,5,8054.161286263422
referencia,NORTE,2025,6,8388.383517211245
referencia,NORTE,2025,7,8402.777060595843
referencia,NORTE,2025,8,8767.47186587104
referencia,NORTE,2025,9,9140.510466268217
referencia,NORTE,2025,10,9003.135848146234
referencia,NORTE,2025,11,9039.903813466133
referencia,NORTE,2025,12,8728.510487069008
referencia,NORTE,2026,1,8033.83537616485
referencia,NORTE,2026,2,8321.251576952196
referencia,NORTE,2026,3,8086.153409654629
referencia,NORTE,2026,4,8214.15169703168
referencia,NORTE,2026,5,8319.948608710112
referencia,NORTE,2026,6,8665.200173279214
referencia,NORTE,2026,7,8680.068703595505
referencia,NORTE,2026,8,9056.798437444784
referencia,NORTE,2026,9,9442.147311655068
referencia,NORTE,2026,10,9300.239331135059
referencia,NORTE,2026,11,9338.220639310515
referencia,NORTE,2026,12,9016.551333142286
referencia,NORTE,2027,1,8298.95194357829
referencia,NORTE,2027,2,8595.85287899162
referencia,NORTE,2027,3,8352.996472173232
referencia,NORTE,2027,4,8485.218703033728
referencia,NORTE,2027,5,8594.506912797546
referencia,NORTE,2027,6,8951.151778997428
referencia,NORTE,2027,7,8966.510970814155
referencia,NORTE,2027,8,9355.672785880462
referencia,NORTE,2027,9,9753.738172939684
referencia,NORTE,2027,10,9607.147229062517
referencia,NORTE,2027,11,9646.38192040776
referencia,NORTE,2027,12,9314.09752713598
referencia,NORTE,2028,1,8572.81735771637
referencia,NORTE,2028,2,8879.516023998342
referencia,NORTE,2028,3,8628.645355754948
referencia,NORTE,2028,4,8765.23092023384
referencia,NORTE,2028,5,8878.125640919863
referencia,NORTE,2028,6,9246.539787704343
referencia,NORTE,2028,7,9262.405832851022
referencia,NORTE,2028,8,9664.409987814517
referencia,NORTE,2028,9,10075.611532646693
referencia,NORTE,2028,10,9924.183087621579
referencia,NORTE,2028,11,9964.712523781214
referencia,NORTE,2028,12,9621.462745531468
referencia,NORDESTE,2025,1,13569.54689320045
referencia,NORDESTE,2025,2,14294.532689540783
referencia,NORDESTE,2025,3,13604.677216468455
